,image,ref_roi
10,/home/ipilab/simplemind-applications/fundus_quick_start/images/image42.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels/image42avg_ann.pngout_0000.nii.gz
11,/home/ipilab/simplemind-applications/fundus_quick_start/images/image12.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels/image12avg_ann.pngout_0000.nii.gz
12,/home/ipilab/simplemind-applications/fundus_quick_start/images/image39.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels/image39avg_ann.pngout_0000.nii.gz
13,/home/ipilab/simplemind-applications/fundus_quick_start/images/image76.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels/image76avg_ann.pngout_0000.nii.gz
14,/home/ipilab/simplemind-applications/fundus_quick_start/images/image25.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels/image25avg_ann.pngout_0000.nii.gz
15,/home/ipilab/simplemind-applications/fundus_quick_start/images/image53.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels/image53avg_ann.pngout_0000.nii.gz
16,/home/ipilab/simplemind-applications/fundus_quick_start/images/image62.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels/image62avg_ann.pngout_0000.nii.gz
17,/home/ipilab/simplemind-applications/fundus_quick_start/images/image28.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels/image28avg_ann.pngout_0000.nii.gz
18,/home/ipilab/simplemind-applications/fundus_quick_start/images/image41.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels/image41avg_ann.pngout_0000.nii.gz
19,/home/ipilab/simplemind-applications/fundus_quick_start/images/image45.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels/image45avg_ann.pngout_0000.nii.gz
20,/home/ipilab/simplemind-applications/fundus_quick_start/images/image64.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels/image64avg_ann.pngout_0000.nii.gz
21,/home/ipilab/simplemind-applications/fundus_quick_start/images/image48.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels/image48avg_ann.pngout_0000.nii.gz
22,/home/ipilab/simplemind-applications/fundus_quick_start/images/image50.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels/image50avg_ann.pngout_0000.nii.gz
23,/home/ipilab/simplemind-applications/fundus_quick_start/images/image27.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels/image27avg_ann.pngout_0000.nii.gz
24,/home/ipilab/simplemind-applications/fundus_quick_start/images/image33.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels/image33avg_ann.pngout_0000.nii.gz
25,/home/ipilab/simplemind-applications/fundus_quick_start/images/image75.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels/image75avg_ann.pngout_0000.nii.gz
26,/home/ipilab/simplemind-applications/fundus_quick_start/images/image30.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels/image30avg_ann.pngout_0000.nii.gz
27,/home/ipilab/simplemind-applications/fundus_quick_start/images/image51.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels/image51avg_ann.pngout_0000.nii.gz
28,/home/ipilab/simplemind-applications/fundus_quick_start/images/image70.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels/image70avg_ann.pngout_0000.nii.gz
29,/home/ipilab/simplemind-applications/fundus_quick_start/images/image9.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels/image9avg_ann.pngout_0000.nii.gz
30,/home/ipilab/simplemind-applications/fundus_quick_start/images/image56.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels/image56avg_ann.pngout_0000.nii.gz
31,/home/ipilab/simplemind-applications/fundus_quick_start/images/image44.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels/image44avg_ann.pngout_0000.nii.gz
32,/home/ipilab/simplemind-applications/fundus_quick_start/images/image77.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels/image77avg_ann.pngout_0000.nii.gz
33,/home/ipilab/simplemind-applications/fundus_quick_start/images/image73.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels/image73avg_ann.pngout_0000.nii.gz
34,/home/ipilab/simplemind-applications/fundus_quick_start/images/image37.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels/image37avg_ann.pngout_0000.nii.gz
35,/home/ipilab/simplemind-applications/fundus_quick_start/images/image58.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels/image58avg_ann.pngout_0000.nii.gz
36,/home/ipilab/simplemind-applications/fundus_quick_start/images/image82.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels/image82avg_ann.pngout_0000.nii.gz
37,/home/ipilab/simplemind-applications/fundus_quick_start/images/image5.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels/image5avg_ann.pngout_0000.nii.gz
38,/home/ipilab/simplemind-applications/fundus_quick_start/images/image63.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels/image63avg_ann.pngout_0000.nii.gz
39,/home/ipilab/simplemind-applications/fundus_quick_start/images/image69.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels/image69avg_ann.pngout_0000.nii.gz
40,/home/ipilab/simplemind-applications/fundus_quick_start/images/image10.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels/image10avg_ann.pngout_0000.nii.gz
41,/home/ipilab/simplemind-applications/fundus_quick_start/images/image15.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels/image15avg_ann.pngout_0000.nii.gz
42,/home/ipilab/simplemind-applications/fundus_quick_start/images/image80.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels/image80avg_ann.pngout_0000.nii.gz
43,/home/ipilab/simplemind-applications/fundus_quick_start/images/image11.pngout_0000.nii.gz,/home/ipilab/simplemind-applications/fundus_quick_start/labels/image11avg_ann.pngout_0000.nii.gz
